General Medicine  : 853932
Surgery  : 574809
Multidisciplinary  : 455295
Linguistics and Language  : 412231
Immunology  : 403053
Physical and Theoretical Chemistry  : 370349
General Engineering  : 316271
Mechanical Engineering  : 309160
General Physics and Astronomy  : 292623
Electrical and Electronic Engineering  : 258208
General Chemistry  : 257697
Organic Chemistry  : 236294
Cancer Research  : 230104
Public Health, Environmental and Occupational Health  : 222413
Obstetrics and Gynaecology  : 219785
General Biochemistry, Genetics and Molecular Biology  : 216165
Cell Biology  : 214025
Biotechnology  : 213538
Pediatrics, Perinatology, and Child Health  : 201405
Radiology Nuclear Medicine and imaging  : 195971
Biophysics  : 194880
Agronomy and Crop Science  : 186351
Plant Science  : 180335
Education  : 177693
Physical Therapy, Sports Therapy and Rehabilitation  : 169075
Control and Systems Engineering  : 156761
Analytical Chemistry  : 156124
Colloid and Surface Chemistry  : 153944
Anesthesiology and Pain Medicine  : 145988
General Materials Science  : 145876
Cardiology and Cardiovascular Medicine  : 144614
Gastroenterology  : 143799
Materials Chemistry  : 135898
Renewable Energy, Sustainability and the Environment  : 134675
Psychiatry and Mental health  : 132949
Animal Science and Zoology  : 132518
Biochemistry  : 125211
Pharmacology (medical)  : 124420
Clinical Biochemistry  : 123224
Nuclear and High Energy Physics  : 121110
Genetics  : 120635
Pathology and Forensic Medicine  : 117958
General Mathematics  : 117867
Economics and Econometrics  : 117863
Toxicology  : 114973
Food Science  : 114549
Space and Planetary Science  : 113598
Genetics(clinical)  : 112439
Oncology  : 110765
Ophthalmology  : 107913
General Neuroscience  : 105749
Physiology (medical)  : 105703
Hepatology  : 105634
Health Policy  : 104666
Internal Medicine  : 104469
Pharmacology  : 100459
Acoustics and Ultrasonics  : 100039
Critical Care and Intensive Care Medicine  : 93708
Instrumentation  : 92299
Microbiology (medical)  : 91929
Sociology and Political Science  : 91227
Environmental Engineering  : 89086
Philosophy  : 87448
Geography, Planning and Development  : 86850
Physics and Astronomy (miscellaneous)  : 85246
Molecular Biology  : 84510
Developmental Biology  : 83967
Ecology  : 83796
Urology  : 82879
Atomic and Molecular Physics, and Optics  : 81439
Applied Mathematics  : 81107
Aquatic Science  : 80735
Political Science and International Relations  : 78862
Nutrition and Dietetics  : 74589
Fuel Technology  : 74277
General Earth and Planetary Sciences  : 71876
Cultural Studies  : 70707
Orthopedics and Sports Medicine  : 70073
Earth-Surface Processes  : 69962
General Nursing  : 69095
Atmospheric Science  : 68444
Molecular Medicine  : 68268
Neurology  : 67265
Religious studies  : 64774
Inorganic Chemistry  : 64469
Applied Psychology  : 61990
Dermatology  : 61171
Hematology  : 59899
Computer Networks and Communications  : 59031
Ecology, Evolution, Behavior and Systematics  : 58872
Theoretical Computer Science  : 58777
Literature and Literary Theory  : 55610
Arts and Humanities (miscellaneous)  : 53711
Industrial and Manufacturing Engineering  : 53144
Transplantation  : 52710
Insect Science  : 51884
Electronic, Optical and Magnetic Materials  : 51483
Geotechnical Engineering and Engineering Geology  : 51148
Management Science and Operations Research  : 50943
Soil Science  : 50332
Clinical Psychology  : 50324
General Energy  : 49759
History  : 49729
Pulmonary and Respiratory Medicine  : 49056
Physiology  : 48924
Anatomy  : 48303
Otorhinolaryngology  : 46513
Marketing  : 46177
Virology  : 43239
Modelling and Simulation  : 43101
Experimental and Cognitive Psychology  : 42992
Endocrinology, Diabetes and Metabolism  : 42747
Management of Technology and Innovation  : 40048
Strategy and Management  : 39495
Nephrology  : 39467
General Veterinary  : 39429
General Psychology  : 39222
Agricultural and Biological Sciences (miscellaneous)  : 38913
